,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source,ID
5260,2016-03-13,1457845200,59.1,48.7,53.4,59.1,43.9,52.8,47.3,80.1,0.12,100.0,25.0,['rain'],0.0,0.0,,15.0,66.2,1016.4,95.8,9.5,59.3,5.0,2.0,07:21:03,1457868063,19:13:06,1457910786,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,obs,1379
5261,2020-11-29,1606626000,56.3,50.0,54.1,56.3,50.0,54.1,52.3,93.7,1.35,100.0,37.5,['rain'],0.0,0.0,,10.2,85.3,1016.1,85.7,4.4,11.2,0.7,1.0,07:22:39,1606652559,17:29:58,1606688998,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,6516
5262,2018-05-26,1527310800,87.2,72.2,78.7,93.1,72.2,81.1,72.8,83.3,0.14,100.0,29.17,['rain'],0.0,0.0,64.4,11.6,161.7,1010.3,42.4,9.0,241.6,21.0,10.0,06:17:08,1527333428,20:10:43,1527383443,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,3714
5263,2016-07-24,1469343600,94.1,67.5,81.4,91.1,67.5,80.2,52.4,39.1,0.0,0.0,0.0,,0.0,0.0,19.7,13.9,198.7,1011.1,0.0,9.9,332.8,28.7,10.0,05:55:00,1469364900,19:54:02,1469415242,0.62,Clear,Clear conditions throughout the day.,clear-day,obs,1729
5264,2017-07-26,1501045200,100.5,75.9,86.4,102.8,75.9,88.8,68.9,59.8,0.0,0.0,0.0,,0.0,0.0,38.0,27.4,145.8,1016.3,20.2,9.9,253.7,22.0,8.0,06:51:06,1501069866,20:30:28,1501119028,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,2806
5265,2019-12-17,1576576800,84.5,75.8,79.3,87.6,75.8,80.2,66.5,65.3,0.0,0.0,0.0,,0.0,0.0,30.7,15.4,67.5,1018.2,36.8,9.9,163.0,13.9,6.0,07:03:28,1576602208,17:53:47,1576641227,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,5290
5266,2017-05-03,1493784000,83.9,47.4,66.2,81.6,47.4,65.7,49.7,63.3,0.0,0.0,0.0,,0.0,0.0,20.8,10.4,198.3,1016.7,1.5,9.9,327.0,28.2,10.0,06:47:49,1493808469,20:22:48,1493857368,0.27,Clear,Clear conditions throughout the day.,clear-day,obs,2555
5267,2016-12-06,1481011200,43.8,30.2,38.0,40.6,30.2,36.6,31.9,79.5,0.0,0.0,0.0,,0.0,0.0,,6.6,127.6,1020.7,52.3,9.9,63.4,5.4,3.0,07:36:01,1481038561,16:26:37,1481070397,0.2,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,2105
5268,2017-03-09,1489046400,70.1,47.9,59.0,70.1,47.0,59.0,51.1,76.5,0.0,0.0,0.0,,0.0,0.0,,13.8,174.0,1022.3,41.0,9.5,210.7,18.1,8.0,06:27:04,1489069624,18:09:56,1489111796,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,2410
5269,2016-11-13,1479024000,84.4,63.5,72.5,81.6,63.5,71.9,41.8,34.7,0.0,0.0,0.0,,0.0,0.0,25.3,13.2,198.8,1017.6,32.9,9.9,174.3,15.2,6.0,06:17:17,1479046637,16:47:58,1479084478,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,2040
5270,2020-04-29,1588143600,89.5,59.8,74.1,87.3,59.8,73.7,57.0,59.1,0.0,0.0,0.0,,0.0,0.0,25.3,14.4,237.5,1014.2,7.2,9.9,231.1,19.9,8.0,06:08:14,1588165694,19:48:21,1588214901,0.18,Clear,Clear conditions throughout the day.,clear-day,obs,5785
5271,2019-07-26,1564113600,82.6,56.8,69.8,82.6,56.8,69.8,57.9,68.9,0.0,0.0,0.0,,0.0,0.0,18.3,5.8,174.2,1025.4,21.3,9.5,272.0,23.5,9.0,06:05:27,1564135527,20:34:14,1564187654,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,4897
5272,2017-12-12,1513054800,63.0,43.1,51.2,63.0,38.7,48.8,37.2,61.3,0.0,0.0,0.0,,0.0,0.0,35.6,21.9,257.9,1012.0,7.9,9.9,149.5,12.9,6.0,07:16:52,1513081012,17:20:46,1513117246,0.86,Clear,Clear conditions throughout the day.,clear-day,obs,3201
5273,2020-07-21,1595307600,89.1,72.3,80.0,94.5,72.3,82.2,69.8,72.1,0.08,100.0,4.17,['rain'],0.0,0.0,,12.0,148.9,1013.3,55.2,9.9,155.7,13.3,7.0,06:31:09,1595331069,20:41:48,1595382108,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,obs,6003
5274,2015-03-14,1426309200,56.2,34.7,46.9,56.2,31.3,44.0,35.8,66.8,0.0,0.0,0.0,,0.0,0.0,23.6,16.5,260.5,1017.3,1.4,9.5,218.4,18.8,8.0,07:05:22,1426334722,18:56:25,1426377385,0.8,Clear,Clear conditions throughout the day.,clear-day,obs,209
5275,2018-04-29,1524985200,70.4,53.1,60.0,70.4,53.1,60.0,47.8,66.3,0.0,0.0,0.0,,0.0,0.0,24.2,15.1,197.9,1013.5,57.8,9.9,221.1,19.1,9.0,06:01:31,1525006891,19:31:17,1525055477,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,3651
5276,2017-09-08,1504846800,82.5,58.1,68.8,81.8,58.1,68.7,54.4,62.2,0.0,0.0,0.0,,0.0,0.0,,5.9,159.7,1020.7,1.1,9.9,263.3,22.9,8.0,06:52:23,1504871543,19:33:28,1504917208,0.53,Clear,Clear conditions throughout the day.,clear-day,obs,2943
5277,2016-03-21,1458532800,47.3,30.7,37.2,40.4,22.6,30.3,22.0,60.2,0.09,100.0,25.0,"['rain', 'snow']",0.0,0.0,33.5,22.1,298.3,1010.6,56.7,7.6,236.0,20.6,8.0,06:54:53,1458557693,19:07:56,1458601676,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,obs,1396
5278,2015-02-09,1423458000,8.5,-11.8,-0.3,4.8,-23.4,-10.5,-10.4,62.5,0.0,0.0,0.0,,0.0,24.6,17.2,11.7,41.5,1029.3,75.4,9.9,131.3,11.3,5.0,06:44:50,1423482290,16:49:04,1423518544,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,136
5279,2019-06-01,1559372400,96.8,64.9,81.8,93.3,64.9,80.5,53.4,41.3,0.0,0.0,0.0,,0.0,0.0,24.2,19.7,187.0,1007.2,1.4,9.9,342.9,29.5,10.0,05:41:12,1559392872,20:33:15,1559446395,0.98,Clear,Clear conditions throughout the day.,clear-day,obs,4751
5280,2020-05-27,1590552000,87.1,71.0,76.7,93.7,71.0,78.2,71.0,83.5,0.5,100.0,25.0,['rain'],0.0,0.0,24.2,7.9,141.1,1012.8,88.6,8.9,150.2,12.9,8.0,06:36:58,1590575818,20:32:14,1590625934,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,5843
5281,2015-06-22,1434945600,89.4,66.0,76.8,91.4,66.0,78.0,67.1,73.9,0.02,100.0,8.33,['rain'],0.0,0.0,32.2,7.1,141.0,1013.2,13.9,9.9,258.8,22.5,8.0,06:06:43,1434967603,20:44:21,1435020261,0.16,Rain,Clear conditions throughout the day with afternoon rain.,rain,obs,566
5282,2016-05-21,1463814000,58.2,50.6,53.8,58.2,50.6,53.8,47.5,79.4,0.14,100.0,33.33,['rain'],0.0,0.0,,10.5,197.7,1011.4,98.5,9.7,157.3,13.7,5.0,05:33:30,1463834010,20:41:21,1463888481,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,obs,1553
5283,2020-11-07,1604725200,73.1,59.4,65.6,73.1,59.4,65.6,59.2,80.27,0.01,,12.5,,0.0,0.0,20.8,11.3,65.5,1022.9,64.5,9.8,145.7,6.3,3.0,07:01:33,1604750493,17:38:05,1604788685,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,6296
